sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,32,,良好,1.2,0.27,32.7,29.8,17,5,3,3.6,0.5,0.5,31,"2022/11/30 01:00:00",0.3,9,25,1,121.760056,25.129167,1
汐止,新北市,38,,良好,0.4,0.25,29.7,31.2,10,3,3.7,4.3,0.5,2.3,48,"2022/11/30 01:00:00",0.3,11,20,1,121.6423,25.067131,2
萬里,新北市,36,,良好,0.8,0.27,38.3,38.4,40,7,1.5,2.4,0.8,5.3,24,"2022/11/30 01:00:00",0.3,11,29,1,121.689881,25.179667,3
新店,新北市,35,,良好,0.8,0.28,26.7,31.4,11,12,5.6,6.3,0.7,2.3,67,"2022/11/30 01:00:00",0.4,10,19,0,121.537778,24.977222,4
土城,新北市,38,,良好,0.4,0.3,26.7,17.1,16,7,5.2,5.6,0.4,1.6,60,"2022/11/30 01:00:00",0.5,11,25,1,121.451861,24.982528,5
板橋,新北市,40,,良好,0,0.32,25.1,14.1,23,6,6.9,7.5,0.6,2,109,"2022/11/30 01:00:00",0.5,12,23,0,121.458667,25.012972,6
新莊,新北市,29,,良好,0.6,0.28,25.2,14.9,14,4,6.4,7.2,0.7,2.5,67,"2022/11/30 01:00:00",0.3,9,18,1,121.4325,25.037972,7
菜寮,新北市,41,,良好,0.8,0.32,25.6,21,7,4,6.6,7.5,0.9,1.7,53,"2022/11/30 01:00:00",0.4,12,19,1,121.481028,25.06895,8
林口,新北市,24,,良好,0.7,0.25,27.5,21.5,10,2,2.9,3.3,0.4,2.9,38,"2022/11/30 01:00:00",0.2,7,15,1,121.36548982,25.07798949,9
淡水,新北市,23,,良好,1,0.25,31.8,24.8,13,5,2.1,2.5,0.4,,,"2022/11/30 01:00:00",0.2,7,10,1,121.449239,25.1645,10
士林,臺北市,48,,良好,0.5,0.3,22.8,25.5,11,10,5.5,6,0.5,1,242,"2022/11/30 01:00:00",0.3,14,23,0,121.51666356,25.10334003,11
中山,臺北市,35,,良好,0.7,0.34,25.3,19,6,5,6.8,8,1.2,2,122,"2022/11/30 01:00:00",0.5,10,24,1,121.526528,25.062361,12
萬華,臺北市,36,,良好,1.1,0.33,26.6,16.5,8,3,6.3,6.9,0.5,2.1,103,"2022/11/30 01:00:00",0.5,11,20,1,121.507972,25.046503,13
